week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
21-Oct-17,usa,7.80%,-8.30%,-5,-6.30%,2.70%,0.50%,4.90%,0.60%
14-Oct-17,usa,7.80%,-8.30%,-5,-6.30%,3.90%,0.60%,5.40%,0.60%
7-Oct-17,usa,7.80%,-8.20%,-6,-7.60%,10.00%,1.00%,7.00%,0.70%
30-Sep-17,usa,7.80%,-7.80%,-6,-7.60%,3.10%,0.60%,5.50%,0.70%
23-Sep-17,usa,7.80%,-8.80%,-6,-7.70%,41.60%,2.90%,-4.60%,0.00%
16-Sep-17,usa,7.80%,-11.60%,-7,-9.00%,2.60%,0.80%,-5.80%,0.20%
9-Sep-17,usa,7.90%,-9.40%,-7,-9.00%,0.50%,0.50%,-4.90%,0.10%
2-Sep-17,usa,9.10%,-9.40%,-7,-9.10%,-2.10%,0.30%,0.30%,0.40%
26-Aug-17,usa,7.90%,-9.20%,-7,-9.30%,9.10%,0.90%,2.20%,0.50%
19-Aug-17,usa,7.80%,-9.20%,-7,-9.50%,3.40%,0.70%,3.50%,0.60%
12-Aug-17,usa,7.80%,-9.20%,-7,-9.60%,7.10%,0.90%,2.30%,0.50%
5-Aug-17,usa,7.80%,-9.60%,-8,-11.00%,4.20%,0.70%,5.30%,0.70%
29-Jul-17,usa,8.00%,-9.90%,-6,-8.30%,1.30%,0.50%,3.40%,0.60%
22-Jul-17,usa,7.80%,-10.00%,-6,-8.50%,-0.30%,0.50%,4.30%,0.60%
15-Jul-17,usa,7.70%,-9.60%,-4,-5.80%,1.90%,0.60%,0.80%,0.50%
8-Jul-17,usa,7.70%,-10.30%,-4,-5.90%,-3.70%,0.30%,-2.80%,0.30%
